127.0.0.1 - - [25/Dec/2020:17:13:19 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:13:21 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:13:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:13:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:13:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:14:21 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:14:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:16:32 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:16:32 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:16:39 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:16:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:36:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:36:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:36:47 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:37:01 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:37:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:37:27 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:37:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:47:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:47:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:47:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:47:58 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:47:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:48:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [25/Dec/2020:17:49:02 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 1045
